GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CDI Features,io.github.jonasrutishauser.cdi.features,NoSelectedFeatureException,1,42,1,5,0,9,1,7,0,5
CDI Features,io.github.jonasrutishauser.cdi.features,Selector,0,3,0,0,0,1,0,1,0,1
CDI Features,io.github.jonasrutishauser.cdi.features,ThrowableSelector,0,11,0,0,0,4,0,1,0,1
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureInvoker,7,138,2,10,2,27,2,9,0,5
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesBuildCompatibleExtension,16,743,1,85,3,145,1,75,0,33
CDI Features,io.github.jonasrutishauser.cdi.features.impl,Cache,0,124,0,20,0,25,0,14,0,4
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesExtension,16,740,1,73,3,135,1,70,0,34
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesExtension.FeatureInvokerFactory,0,73,0,4,0,15,0,8,0,6
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureCreator,21,197,1,9,4,38,1,12,0,8
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesExtension.new TypeLiteral() {...},0,3,0,0,0,1,0,1,0,1
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesExtension.new InjectionTarget() {...},0,54,0,0,0,12,0,7,0,7
CDI Features,io.github.jonasrutishauser.cdi.features.impl,ConfigurationSelector,0,38,0,4,0,8,0,5,0,3
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureInstances,0,129,1,9,0,32,1,12,0,8
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureCreator.new FeatureCreator.Lookup() {...},0,29,0,2,0,5,0,3,0,2
CDI Features,io.github.jonasrutishauser.cdi.features.impl,Cache.CacheEntry,0,14,0,0,0,5,0,1,0,1
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesBuildCompatibleExtension.ScopeStop,0,10,0,0,0,3,0,2,0,2
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureSelector.Literal,0,8,0,0,0,2,0,2,0,2
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesExtension.FeatureInvokerInvokerFactory,0,80,0,4,0,15,0,7,0,5
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureInvokerInvoker,0,89,0,10,0,17,0,9,0,4
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureHolder,5,55,2,6,1,18,2,7,0,5
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureContext,8,95,3,7,2,24,3,12,0,10
CDI Features,io.github.jonasrutishauser.cdi.features.impl,ArcInterceptedFeatureCreator,29,7,0,0,3,2,2,1,2,1
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureInterceptor,0,28,0,0,0,10,0,5,0,5
CDI Features,io.github.jonasrutishauser.cdi.features.impl,ArcFeatureCreator,28,7,0,0,2,2,2,1,2,1
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureInstances.new ContextualSelector.Context() {...},0,21,0,0,0,3,0,3,0,3
CDI Features,io.github.jonasrutishauser.cdi.features.impl,Cache.Selection,0,27,0,2,0,3,0,3,0,2
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureInstances.ProperyResolver,0,10,0,0,0,2,0,1,0,1
